Sample_ID,Food_Name,Category,Food_Type,Storage_Type,Quantity_kg,City,Donation_DateTime,Hour_of_Day,Day_of_Week,Shelf_Life_Hours,Hours_Since_Prepared,Remaining_Hours,Spoilage_Risk,Is_Spoiled,Prediction_Confidence
1,Coconut Water,beverages,veg,frozen,7.0,Chandigarh,2026-04-25 09:06,9,Saturday,1975.5,2194.8,0.0,High,1,Medium
2,Flour Bag,packaged-food,veg,room-temperature,15.5,Noida,2026-11-05 06:12,6,Thursday,771.9,752.5,19.4,High,0,Medium
3,Banana Bread,bakery,veg,room-temperature,31.6,Chennai,2026-03-23 17:21,17,Monday,49.8,11.6,38.2,Low,0,High
4,Cheese Slices,dairy,veg,room-temperature,12.9,Noida,2026-11-06 11:02,11,Friday,6.1,4.2,1.9,Medium,0,High
5,Tomatoes,fruits-vegetables,veg,frozen,31.3,Mumbai,2026-07-05 15:45,15,Sunday,816.4,56.1,760.3,Low,0,Medium
6,Paneer,dairy,veg,refrigerated,7.3,Hyderabad,2026-07-06 10:22,10,Monday,19.8,19.9,0.0,High,1,High
7,Lemonade,beverages,veg,frozen,15.1,Indore,2026-03-25 13:17,13,Wednesday,1873.5,1798.6,74.9,High,0,Medium
8,Milkshake Bottles,beverages,veg,room-temperature,16.8,Hyderabad,2026-06-11 12:04,12,Thursday,177.8,243.5,0.0,High,1,Medium
9,Milkshake Bottles,beverages,veg,frozen,11.0,Bangalore,2026-11-26 13:16,13,Thursday,2048.6,757.9,1290.7,Low,0,Medium
10,Ghee,dairy,veg,refrigerated,4.1,Gurgaon,2026-03-12 14:05,14,Thursday,21.7,1.5,20.2,Low,0,High
11,Smoothies,beverages,non-veg,frozen,3.1,Jaipur,2026-07-15 15:29,15,Wednesday,1303.0,491.4,811.6,Low,0,Medium
12,Chicken Curry,cooked-meals,non-veg,refrigerated,4.6,Noida,2026-08-11 09:00,9,Tuesday,10.5,13.8,0.0,High,1,High
13,Cereal Box,packaged-food,veg,room-temperature,33.8,Gurgaon,2026-11-08 10:23,10,Sunday,758.3,183.8,574.5,Low,0,Medium
14,Biscuit Packets,packaged-food,non-veg,room-temperature,46.8,Indore,2026-06-07 10:15,10,Sunday,480.8,409.2,71.6,High,0,Medium
15,Orange Juice,beverages,veg,frozen,15.8,Bangalore,2026-03-07 16:35,16,Saturday,1913.4,760.7,1152.7,Low,0,Medium
16,Carrots,fruits-vegetables,veg,refrigerated,34.8,Jaipur,2026-11-29 12:57,12,Sunday,239.2,162.0,77.2,Medium,0,Medium
17,Egg Curry,cooked-meals,non-veg,room-temperature,15.5,New Delhi,2026-01-04 08:40,8,Sunday,2.7,0.9,1.8,Low,0,High
18,Paneer,dairy,veg,refrigerated,4.0,Lucknow,2026-03-09 18:56,18,Monday,21.1,18.2,2.9,High,0,High
19,Cabbage,fruits-vegetables,veg,frozen,16.8,Noida,2026-08-05 12:55,12,Wednesday,854.6,69.4,785.2,Low,0,Medium
20,Coconut Water,beverages,veg,refrigerated,15.1,Jaipur,2026-02-25 11:12,11,Wednesday,568.4,382.5,185.9,Medium,0,Medium
21,Raita,dairy,veg,refrigerated,13.1,Jaipur,2026-10-09 08:41,8,Friday,21.4,26.8,0.0,High,1,High
22,Cookies,bakery,veg,room-temperature,35.3,Pune,2026-01-31 10:00,10,Saturday,45.2,18.0,27.2,Low,0,High
